Unnamed: 0,Availability of education/training for assistive technology,Availability of education/training for assistive technology.1,Availability of education/training for assistive technology.2,Availability of education/training for assistive technology.3,Availability of education/training for assistive technology.4,Availability of education/training for assistive technology.5,Availability of education/training for assistive technology.6,timestamp
, Summary, Training related to Cognition, Training related to Communication, Training related to Hearing, Training related to Mobility, Training related to Self-care, Training related to Vision,2025-07-19T19:44:42.294761
"Countries, territories and areas", 2021, 2021, 2021, 2021, 2021, 2021, 2021,2025-07-19T19:44:42.294761
Afghanistan,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Antigua and Barbuda,Partial coverage,No,No,Yes,Yes,Information not available,Yes,2025-07-19T19:44:42.294761
Australia,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Azerbaijan,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Bahrain,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Belgium,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Benin,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Bhutan,Partial coverage,No,No,Yes,Yes,No,Yes,2025-07-19T19:44:42.294761
Brazil,Partial coverage,Information not available,Yes,Yes,Yes,Information not available,Yes,2025-07-19T19:44:42.294761
Brunei Darussalam,Partial coverage,Information not available,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Burkina Faso,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Burundi,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Cabo Verde,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Canada,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Chad,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Chile,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Costa Rica,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Croatia,No information,Information not available,Information not available,Information not available,Information not available,Information not available,No,2025-07-19T19:44:42.294761
Czechia,Partial coverage,Information not available,Information not available,Yes,Information not available,Information not available,Yes,2025-07-19T19:44:42.294761
Democratic Republic of the Congo,Partial coverage,No,No,No,Yes,No,No,2025-07-19T19:44:42.294761
Djibouti,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Dominican Republic,Partial coverage,No,Yes,No,Yes,No,Yes,2025-07-19T19:44:42.294761
Estonia,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Eswatini,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Gambia,Partial coverage,Yes,Yes,Yes,Information not available,Yes,Yes,2025-07-19T19:44:42.294761
Georgia,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Guatemala,Partial coverage,Information not available,Information not available,Information not available,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Iran (Islamic Republic of),Partial coverage,No,No,Yes,Yes,No,Yes,2025-07-19T19:44:42.294761
Iraq,Partial coverage,Information not available,Information not available,Yes,Yes,Information not available,Information not available,2025-07-19T19:44:42.294761
Italy,Partial coverage,No,No,Yes,Yes,No,Yes,2025-07-19T19:44:42.294761
Jordan,Partial coverage,Yes,Yes,Yes,Yes,Information not available,Yes,2025-07-19T19:44:42.294761
Kenya,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Malawi,Partial coverage,No,No,No,No,No,Yes,2025-07-19T19:44:42.294761
Maldives,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Mali,Partial coverage,Yes,Yes,Yes,Yes,Information not available,Yes,2025-07-19T19:44:42.294761
Mauritius,Partial coverage,Information not available,Information not available,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Myanmar,Partial coverage,Information not available,Information not available,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Namibia,Partial coverage,Yes,Yes,No,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Nepal,Partial coverage,No,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
New Zealand,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Nicaragua,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Niger,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Nigeria,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Pakistan,Partial coverage,No,No,Yes,Yes,No,Yes,2025-07-19T19:44:42.294761
Paraguay,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Peru,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Poland,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Portugal,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Qatar,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Republic of Korea,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Republic of Moldova,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
North Macedonia,Partial coverage,Information not available,Yes,Yes,Yes,Information not available,Yes,2025-07-19T19:44:42.294761
Rwanda,Partial coverage,No,No,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Saint Vincent and the Grenadines,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
San Marino,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Seychelles,Partial coverage,Yes,No,No,Yes,Yes,Information not available,2025-07-19T19:44:42.294761
Sierra Leone,Partial coverage,No,No,No,Yes,No,Yes,2025-07-19T19:44:42.294761
Spain,No information,No,No,Information not available,No,No,No,2025-07-19T19:44:42.294761
Sri Lanka,Partial coverage,Information not available,Information not available,Yes,Information not available,Information not available,Yes,2025-07-19T19:44:42.294761
Sudan,Partial coverage,No,No,No,Yes,No,No,2025-07-19T19:44:42.294761
Sweden,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Tajikistan,No coverage,No,No,No,No,No,No,2025-07-19T19:44:42.294761
Thailand,Partial coverage,No,No,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Timor-Leste,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Togo,No information,Information not available,Information not available,Information not available,Information not available,Information not available,Information not available,2025-07-19T19:44:42.294761
Ukraine,Partial coverage,No,No,Yes,Yes,No,Yes,2025-07-19T19:44:42.294761
United Arab Emirates,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
United States of America,Total coverage,Yes,Yes,Yes,Yes,Yes,Yes,2025-07-19T19:44:42.294761
Zambia,Partial coverage,Information not available,Information not available,Information not available,Yes,Information not available,Information not available,2025-07-19T19:44:42.294761
Zimbabwe,Partial coverage,Information not available,Yes,Yes,No,Information not available,Yes,2025-07-19T19:44:42.294761
